symbol,frequency,fiscalDate,revenue,grossProfit,netIncome,grossMargin_pct,netMargin_pct,revenue_QoQ_growth_pct,revenue_YoY_growth_pct,netIncome_QoQ_growth_pct,netIncome_YoY_growth_pct,operatingCashflow,freeCashFlow,debtToEquity,currentRatio,cashRatio,researchAndDevelopment,rdIntensity_pct,capexToRevenue_pct,source
8035.T,Annual,2025-03-31,2431568000000.0,1146288000000.0,544133000000.0,47.14,22.38,32.83,32.83,49.5,49.5,582174000000.0,740548000000.0,0.4155,2.6563,0.614,250017000000.0,10.28,-6.51,FMP
8035.T,Annual,2024-03-31,1830527000000.0,830270000000.0,363963000000.0,45.36,19.88,-17.13,-17.13,-22.82,-22.82,434720000000.0,559700000000.0,0.3956,2.779,0.7557,202873000000.0,11.08,-6.83,FMP
8035.T,Annual,2023-03-31,2209025000000.0,984408000000.0,471584000000.0,44.56,21.35,10.24,10.24,7.9,7.9,426270000000.0,502583000000.0,0.4452,2.7639,0.7511,191196000000.0,8.66,-3.45,FMP
8035.T,Annual,2022-03-31,2003805000000.0,911822000000.0,437076000000.0,45.5,21.81,43.22,43.22,79.91,79.91,283387000000.0,348490000000.0,0.4064,3.0063,0.5853,158256000000.0,7.9,-3.25,FMP
8035.T,Annual,2021-03-31,1399102000000.0,564945000000.0,242941000000.0,40.38,17.36,,,,,145888000000.0,206818000000.0,0.3912,3.0998,0.5693,136648000000.0,9.77,-4.35,FMP
AJINY,Annual,2025-03-31,1530556000000.0,550764000000.0,70272000000.0,35.98,4.59,6.35,6.35,-19.34,-19.34,209898000000.0,304988000000.0,1.2157,1.8235,0.4284,30921000000.0,2.02,-6.21,FMP
AJINY,Annual,2024-03-31,1439231000000.0,511448000000.0,87121000000.0,35.54,6.05,5.89,5.89,-7.38,-7.38,168074000000.0,240096000000.0,1.093,1.4151,0.3421,28766000000.0,2.0,-5.0,FMP
AJINY,Annual,2023-03-31,1359115000000.0,470388000000.0,94065000000.0,34.61,6.92,18.25,18.25,24.22,24.22,117640000000.0,190686000000.0,0.896,1.8123,0.3909,25867000000.0,1.9,-5.37,FMP
AJINY,Annual,2022-03-31,1149370000000.0,425898000000.0,75725000000.0,37.05,6.59,7.27,7.27,27.45,27.45,145576000000.0,226295000000.0,1.0443,1.791,0.4665,24842000000.0,2.16,-7.02,FMP
AJINY,Annual,2021-03-31,1071453000000.0,406219000000.0,59416000000.0,37.91,5.55,,,,,165650000000.0,251687000000.0,1.2308,1.7398,0.54,25900000000.0,2.42,-8.03,FMP
