symbol,frequency,fiscalDate,revenue,grossProfit,netIncome,grossMargin_pct,netMargin_pct,revenue_QoQ_growth_pct,revenue_YoY_growth_pct,netIncome_QoQ_growth_pct,netIncome_YoY_growth_pct,operatingCashflow,freeCashFlow,debtToEquity,currentRatio,cashRatio,researchAndDevelopment,rdIntensity_pct,capexToRevenue_pct,source
002371.SZ,Annual,2024-12-31,29838069162.26,12786892435.38,5621189109.03,42.85,18.84,35.14,35.14,44.17,44.17,1573165054.27,3619319311.1,1.0391,1.9679,0.5258,3669454817.56,12.3,-6.86,YahooFinance
002371.SZ,Annual,2023-12-31,22079458092.37,9003431276.5,3899069987.91,40.78,17.66,50.32,50.32,65.73,65.73,2365007734.54,4344989317.85,1.1601,2.0031,0.6525,2475304060.27,11.21,-8.97,YahooFinance
002371.SZ,Annual,2022-12-31,14688111969.67,6438490374.54,2352726657.86,43.83,16.02,51.68,51.68,118.37,118.37,-727939010.42,680655909.97,1.1293,1.9732,0.6617,1845332254.24,12.56,-9.59,YahooFinance
002371.SZ,Annual,2021-12-31,9683478119.38,3816520378.19,1077409991.25,39.41,11.13,,,,,-776859120.34,-330039266.74,0.8057,1.981,0.8047,1297237567.86,13.4,-4.61,YahooFinance
002371.SZ,Annual,2020-12-31,,,,,,,,,,,,,,,,,,YahooFinance
002371.SZ,Quarter,2025-03-31,8206029208.83,3529876823.18,1580707286.38,43.02,19.26,-13.49,37.9,36.42,38.8,,,0.9998,2.0538,0.4732,1026367769.5,12.51,-2.33,YahooFinance
002371.SZ,Quarter,2024-12-31,9485298203.09,3786589967.66,1158667747.47,39.92,12.22,18.3,,-31.11,,,,1.0391,1.9679,0.5258,1477608970.31,15.58,-12.27,YahooFinance
002371.SZ,Quarter,2024-09-30,8017863754.89,3388312490.27,1681917060.31,42.26,20.98,23.81,,1.68,,,,1.1227,2.0808,0.5419,845345523.51,10.54,-2.87,YahooFinance
002371.SZ,Quarter,2024-06-30,6475743823.69,3069277201.43,1654053673.89,47.4,25.54,8.83,,45.24,,,,1.1524,1.9022,0.5309,625507299.65,9.66,-6.13,YahooFinance
002371.SZ,Quarter,2024-03-31,5950568399.86,2616670765.75,1138817830.6,43.97,19.14,,,,,,,1.1605,1.9531,0.6157,728483331.0,12.24,-4.41,YahooFinance
